% Model:              halbach.mph
% Version:            COMSOL 5.3.0.316
% Date:               Jun 21 2021, 06:09
% Dimension:          2
% Nodes:              1000
% Expressions:        2
% Description:        Magnetic flux density norm, 
% Length unit:        m
% X                       Y                        mfnc.normB (T)           atan2(y,x) (rad)
9.82779056315751E-18      -0.1605                  3.736408765525309E-4     -1.5707963267948966
5.047295193416928E-4      -0.16049920637845008     3.7333683701988216E-4    -1.5676515894039158
0.0010094540472288783     -0.16049682552164868     2.870780257276577E-4     -1.564506852012935
0.0015141685922564305     -0.16049285745314096     2.9816100323341003E-4    -1.5613621146219543
0.0020188681631179385     -0.16048730221216864     3.092554506234615E-4     -1.5582173772309735
0.002523547768655076      -0.1604801598536695      3.2036014205685754E-4    -1.5550726398399928
0.0030282024179069614     -0.16047143044827694     3.314740104238093E-4     -1.551927902449012
0.0035328271201595495     -0.16046111408231922     3.425961219232358E-4     -1.548783165058031
0.004037416884994847      -0.16044921085781866     3.5372565534996564E-4    -1.5456384276670503
0.004541966722340474      -0.16043572089249064     3.6486188510916447E-4    -1.5424936902760695
0.005046471642518874      -0.16042064431974226     3.760041672014519E-4     -1.5393489528850888
0.0055509266562966935     -0.1604039812886713      3.8715192759269896E-4    -1.536204215494108
0.006055326774934118      -0.16038573196406458     3.9830465250992607E-4    -1.5330594781031273
0.006559667010234218      -0.1603658965263963      4.094618803025495E-4     -1.5299147407121465
0.007063942374592263      -0.16034447517182635     4.2062319458314063E-4    -1.5267700033211657
0.007568147881045062      -0.16032146811219836     4.3178821841995335E-4    -1.523625265930185
0.008072278543320273      -0.1602968755750375      4.4295660939807496E-4    -1.5204805285392042
0.008576329375885714      -0.16027069780354836     4.541280554020947E-4     -1.5173357911482235
0.009080295393998667      -0.1602429350566125      4.6530227100038604E-4    -1.5141910537572427
0.00958417161375518       -0.16021358760878582     4.7647899433358505E-4    -1.511046316366262
0.010087953052139378      -0.160182655750296       4.8765798442720426E-4    -1.507901578975281
0.010591634727072611      -0.16015013978703943     4.98839018862771E-4      -1.5047568415843002
0.011095211657462937      -0.1601160400405784      5.100218917528935E-4     -1.5016121041933195
0.01159867886325423       -0.16008035684813768     5.212064119751173E-4     -1.4984673668023387
0.012102031365475469      -0.16004309056260146     5.323924016269478E-4     -1.495322629411358
0.012605264186289983      -0.16000424155250959     5.435796946703181E-4     -1.4921778920203772
0.013108372349044675      -0.15996381020205414     5.547681357391354E-4     -1.4890331546293964
0.01361135087831923       -0.1599217969110755      5.659575790874523E-4     -1.4858884172384157
0.014114194799975333      -0.15987820209505843     5.771478876593234E-4     -1.482743679847435
0.014616899141205852      -0.159833026185128       5.883389322642347E-4     -1.4795989424564542
0.01511945893058401       -0.1597862696280453      5.995305908445547E-4     -1.4764542050654734
0.015621869198112566      -0.15973793288620292     6.107227478231013E-4     -1.4733094676744927
0.016124124975272946      -0.15968801643762057     6.219152935208438E-4     -1.470164730283512
0.016626221295074434      -0.1596365207759403      6.331081236362094E-4     -1.467019992892531
0.017128153192103125      -0.15958344641042144     6.443011387783796E-4     -1.4638752555015502
0.01762991570257127       -0.1595287938659358      8.021115626626643E-4     -1.4607305181105694
0.018131503864366204      -0.1594725636829623      8.329429913887981E-4     -1.4575857807195887
0.018632912717099465      -0.15941475641758185     8.639639780314127E-4     -1.454441043328608
0.01913413730215583       -0.1593553726414715      8.951533432928001E-4     -1.4512963059376272
0.019635172662742388      -0.15929441294189917     9.26492695977924E-4      -1.4481515685466464
0.02013601384393752       -0.15923187792171756     9.579660100036031E-4     -1.4450068311556656
0.020636655892739924      -0.15916776819935827     9.89559273118831E-4      -1.4418620937646849
0.021137093858117587      -0.15910208440882578     0.0010212601941967333    -1.4387173563737041
0.021637322791056766      -0.15903482719969114     0.0010530579584813056    -1.4355726189827234
0.02213733774461089       -0.15896599723708535     0.0010849430222039835    -1.4324278815917426
0.022637133773949575      -0.15889559520169308     0.0011169069396214757    -1.4292831442007616
0.023136705936407327      -0.1588236217897458      0.001148942216837683     -1.4261384068097809
0.023636049291532676      -0.1587500777130148      0.0011810421878271288    -1.4229936694188001
0.02413515890113686       -0.15867496369880435     0.0012132009089231353    -1.4198489320278194
0.024634029829342725      -0.15859828048994434     0.001245413068715477     -1.4167041946368386
0.02513265714263352       -0.158520028844783       0.0012776739108516252    -1.4135594572458579
0.025631035909901692      -0.15844020953717944     0.0013099791676795547    -1.410414719854877
0.026129161202497645      -0.15835882335649598     0.001342325003029904     -1.4072699824638963
0.026627028094278495      -0.1582758711075902      0.0013747079627277295    -1.4041252450729156
0.027124631661656778      -0.15819135361080722     0.0014071249316626028    -1.4009805076819348
0.027621966983649125      -0.1581052717019714      0.0014395730964406781    -1.397835770290954
0.02811902914192497       -0.1580176262323782      0.0014720499128021262    -1.3946910328999733
0.028615813220855168      -0.15792841806878563     0.0015045530771191178    -1.3915462955089923
0.029112314307560522      -0.1578376480934058      0.0015370805013979409    -1.3884015581180116
0.02960852749196054       -0.15774531720389617     0.0015696302912990606    -1.3852568207270308
0.030104447866821878      -0.15765142631335058     0.0016022007267627641    -1.38211208333605
0.030600070527806875      -0.15755597635029034     0.001634790244891518     -1.3789673459450693
0.031095390573522085      -0.157458968258655       0.0016673974247909146    -1.3758226085540886
0.031590403105566725      -0.15736040299779294     0.0017000209741152715    -1.3726778711631078
0.032085103228581144      -0.15726028154245209     0.0018843682260334857    -1.369533133772127
0.032579486050295196      -0.15715860488277003     0.0019678525245733778    -1.3663883963811463
0.03307354668157666       -0.15705537402426437     0.002051756929195756     -1.3632436589901655
